"player","team","dyar","dvoa","voa","szn"
"D.Carr","OAK","1,074",0.189,0.184,2019
"K.Cousins","MIN","801",0.145,0.171,2019
"A.Rodgers","GB","796",0.091,0.098,2019
"R.Tannehill","TEN","777",0.281,0.274,2019
"M.Stafford","DET","776",0.288,0.324,2019
"M.Ryan","ATL","742",0.068,0.038,2019
"J.Garoppolo","SF","737",0.112,0.123,2019
"D.Watson","HOU","725",0.096,0.075,2019
"P.Rivers","LAC","721",0.068,0.07,2019
"J.Goff","LAR","569",0.024,0.008,2019
"T.Brady","NE","558",0.026,0.044,2019
"C.Wentz","PHI","453",-0.005,0.044,2019
"R.Fitzpatrick","MIA","441",0.015,-0.019,2019
"J.Brissett","IND","421",0.029,0.05,2019
"T.Bridgewater","NO","345",0.157,0.151,2019
"K.Murray","ARI","289",-0.035,-0.066,2019
"G.Minshew","JAX","201",-0.047,-0.027,2019
"J.Winston","TB","65",-0.096,-0.065,2019
"B.Mayfield","CLE","59",-0.095,-0.127,2019
"C.Keenum","WAS","52",-0.08,-0.044,2019
"A.Dalton","CIN","5",-0.11,-0.134,2019
"J.Allen","BUF","-15",-0.116,-0.098,2019
"M.Trubisky","CHI","-24",-0.118,-0.114,2019
"J.Flacco","DEN","-139",-0.186,-0.2,2019
"M.Rudolph","PIT","-219",-0.227,-0.173,2019
"D.Jones","NYG","-241",-0.187,-0.183,2019
"S.Darnold","NYJ","-290",-0.204,-0.151,2019
"K.Allen","CAR","-408",-0.227,-0.216,2019
"D.Haskins","WAS","-466",-0.434,-0.413,2019
