"passer_player_name","szn","posteam","epa_db","cpoe"
"K.Collins",2009,"TEN",-0.195947520670019,"-0.07290003"
"B.Roethlisberger",2009,"PIT",0.127572276543639,"0.04858682"
"B.Quinn",2009,"CLE",-0.186666345230109,"-0.08454534"
"B.Favre",2009,"MIN",0.23543579120591,"0.05455996"
"D.Brees",2009,"NO",0.279534485145728,"0.07939653"
"M.Stafford",2009,"DET",-0.160028277286204,"-0.07476239"
"T.Romo",2009,"DAL",0.155654436435074,"-0.005264827"
"B.Leftwich",2009,"TB",-0.116390225669573,"-0.06195575"
"M.Schaub",2009,"HOU",0.160857313335901,"0.05090921"
"M.Sanchez",2009,"NYJ",-0.202072661960231,"-0.06487558"
"P.Manning",2009,"IND",0.310155112243374,"0.06880844"
"D.Garrard",2009,"JAC",-0.0359967550136481,"-0.01248705"
"K.Orton",2009,"DEN",0.019553474603036,"-0.01607246"
"C.Palmer",2009,"CIN",0.003088708281813,"-0.01887111"
"J.Delhomme",2009,"CAR",-0.192574008304024,"-0.05172815"
"D.McNabb",2009,"PHI",0.0603040502135803,"-0.01596715"
"M.Moore",2009,"CAR",0.0233981426929438,"-0.005297538"
"J.Flacco",2009,"BAL",0.056918917716914,"0.01432478"
"M.Ryan",2009,"ATL",0.0923044123432794,"-0.03363345"
"K.Warner",2009,"ARI",0.0793085572925032,"0.03303118"
"S.Hill",2009,"SF",-0.0904511450704736,"-0.0746273"
"M.Hasselbeck",2009,"SEA",-0.158514076228846,"-0.03936666"
"M.Bulger",2009,"STL",-0.124438125750044,"-0.05752768"
"E.Manning",2009,"NYG",0.125443491803523,"0.007761975"
"J.Campbell",2009,"WAS",-0.0178725266764609,"0.004026784"
"A.Rodgers",2009,"GB",0.176007312681039,"0.03387496"
"J.Cutler",2009,"CHI",-0.0873620773063013,"-0.0116722"
"T.Brady",2009,"NE",0.183487615338443,"0.0277497"
"T.Edwards",2009,"BUF",-0.1873125533925,"-0.03763863"
"J.Russell",2009,"OAK",-0.478805466845979,"-0.1172992"
"P.Rivers",2009,"SD",0.305730758842396,"0.04513399"
"B.Gradkowski",2009,"OAK",-0.0279734619440238,"-0.0350684"
"M.Cassel",2009,"KC",-0.168471129617009,"-0.07041349"
"S.Wallace",2009,"SEA",-0.0532025676756075,"0.02154191"
"D.Anderson",2009,"CLE",-0.415660008810692,"-0.1728952"
"J.Johnson",2009,"TB",-0.282296588890115,"-0.1177771"
"K.Boller",2009,"STL",-0.318221658926791,"-0.08392329"
"C.Henne",2009,"MIA",0.0260566023722833,"-0.01063027"
"D.Culpepper",2009,"DET",-0.151946673634546,"-0.03782528"
"V.Young",2009,"TEN",0.0347657001125917,"-0.01794725"
"R.Fitzpatrick",2009,"BUF",-0.225741881451588,"-0.0588627"
"J.Freeman",2009,"TB",-0.209341788893054,"-0.05924928"
"A.Smith",2009,"SF",-0.0725606336058493,"-0.03286983"
"C.Redman",2009,"ATL",0.0480360430798147,"-0.03211329"
"K.Null",2009,"STL",-0.418631495865184,"-0.03321868"
"B.Favre",2010,"MIN",-0.105245346983455,"-0.01145458"
"D.Brees",2010,"NO",0.10824172174227,"0.04716477"
"J.Freeman",2010,"TB",0.115538394769305,"-0.003161205"
"J.Delhomme",2010,"CLE",-0.270992637412543,"-0.002954"
"J.Cutler",2010,"CHI",-0.0829515420414032,"-0.01846569"
"Sh.Hill",2010,"DET",0.0593410834916474,"-0.01279283"
"E.Manning",2010,"NYG",0.0554754571038066,"0.01525569"
"M.Moore",2010,"CAR",-0.255000729111391,"-0.05365527"
"J.Clausen",2010,"CAR",-0.298755414886841,"-0.1134157"
"J.Campbell",2010,"OAK",-0.00863230455743494,"-0.0291618"
"V.Young",2010,"TEN",0.037314593124895,"0.004150407"
"K.Orton",2010,"DEN",0.014311155642958,"-0.0249183"
"D.Garrard",2010,"JAC",0.049208121832506,"0.02167157"
"C.Henne",2010,"MIA",-0.0316924434095821,"-0.01745959"
"C.Palmer",2010,"CIN",0.00636411409433595,"-0.001696266"
"T.Brady",2010,"NE",0.234003563861222,"0.01695168"
"P.Manning",2010,"IND",0.162286091930221,"0.03993516"
"M.Schaub",2010,"HOU",0.131212875254642,"0.009002791"
"A.Rodgers",2010,"GB",0.157590481675813,"0.04728556"
"K.Kolb",2010,"PHI",-0.0886419656665383,"-0.008902854"
"M.Vick",2010,"PHI",0.0374993804383145,"0.01823747"
"D.Anderson",2010,"ARI",-0.145486892649138,"-0.08174815"
"S.Bradford",2010,"STL",-0.089310397508829,"-0.04474282"
"M.Hasselbeck",2010,"SEA",-0.0736292245495919,"-0.01700343"
"A.Smith",2010,"SF",-0.0349617636937127,"-0.02757179"
"T.Romo",2010,"DAL",0.0618213637537927,"0.06063826"
"D.McNabb",2010,"WAS",-0.0788540417433977,"-0.04101153"
"M.Sanchez",2010,"NYJ",-0.0204365037026877,"-0.06163089"
"J.Flacco",2010,"BAL",0.0778830847204968,"0.005853333"
"M.Cassel",2010,"KC",0.0872450288328482,"-0.03882541"
"P.Rivers",2010,"SD",0.220202685722796,"0.03902452"
"M.Ryan",2010,"ATL",0.179494652703198,"-0.001718856"
"K.Collins",2010,"TEN",0.0731429020813522,"-0.02063198"
"S.Wallace",2010,"CLE",-0.0228004689830418,NA
"B.Gradkowski",2010,"OAK",-0.139563455876327,"-0.08720301"
"R.Fitzpatrick",2010,"BUF",-0.0433603055415324,"-0.03246262"
"D.Stanton",2010,"DET",-0.0117307244709614,"-0.05352159"
"C.McCoy",2010,"CLE",-0.0593672235706132,"-0.01600366"
